Project,Sampling Unit Name,Protocol,Date,Start Time,End Time,Count,Spp,Common Name,Scientific Name,Detection Cue,Breeding Evidence,Visit Note,Observation Note,Researcher,Other Observers Count,Other Observers Names,Data Status
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,39,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,1,BLVU,Black Vulture,Coragyps atratus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,1,BUTP,Variable Hawk,Geranoaetus polyosoma,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN11,WATERBIRD_COUNT,2017-01-25,13:38:00,13:43:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN11,WATERBIRD_COUNT,2017-01-25,13:38:00,13:43:00,1,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN12,WATERBIRD_COUNT,2017-01-25,13:43:00,13:48:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,79,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,6,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,20,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,112,FRGU,Franklin's Gull,Leucophaeus pipixcan,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,24,ELTE,Elegant Tern,Thalasseus elegans,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,6,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,32,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2017-01-25,12:45:00,12:51:00,47,NECO,Neotropic Cormorant,Nannopterum brasilianum,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN3,WATERBIRD_COUNT,2017-01-25,12:55:00,13:01:00,12,NECO,Neotropic Cormorant,Nannopterum brasilianum,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN4,WATERBIRD_COUNT,2017-01-25,13:02:00,13:09:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN4,WATERBIRD_COUNT,2017-01-25,13:02:00,13:09:00,4,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN4,WATERBIRD_COUNT,2017-01-25,13:02:00,13:09:00,1,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN5,WATERBIRD_COUNT,2017-01-25,13:10:00,13:13:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN6,WATERBIRD_COUNT,2017-01-25,13:15:00,13:17:00,2,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN6,WATERBIRD_COUNT,2017-01-25,13:15:00,13:17:00,7,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN6,WATERBIRD_COUNT,2017-01-25,13:15:00,13:17:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
